type,show_title,week,type2,year,url,url2,url3,url4
m,on_the_line,2023-09-03,tv,2023,https://www.rottentomatoes.com/m/on_the_line_2023,https://www.rottentomatoes.com/m/on_the_line,https://www.rottentomatoes.com/tv/on_the_line_2023,https://www.rottentomatoes.com/tv/on_the_line
m,once_upon_a_crime,2023-10-01,tv,2023,https://www.rottentomatoes.com/m/once_upon_a_crime_2023,https://www.rottentomatoes.com/m/once_upon_a_crime,https://www.rottentomatoes.com/tv/once_upon_a_crime_2023,https://www.rottentomatoes.com/tv/once_upon_a_crime
tv,once_upon_a_small_town,2022-11-06,m,2022,https://www.rottentomatoes.com/tv/once_upon_a_small_town_2022,https://www.rottentomatoes.com/tv/once_upon_a_small_town,https://www.rottentomatoes.com/m/once_upon_a_small_town_2022,https://www.rottentomatoes.com/m/once_upon_a_small_town
tv,one_day,2024-03-24,m,2024,https://www.rottentomatoes.com/tv/one_day_2024,https://www.rottentomatoes.com/tv/one_day,https://www.rottentomatoes.com/m/one_day_2024,https://www.rottentomatoes.com/m/one_day
m,one_more_time,2023-04-30,tv,2023,https://www.rottentomatoes.com/m/one_more_time_2023,https://www.rottentomatoes.com/m/one_more_time,https://www.rottentomatoes.com/tv/one_more_time_2023,https://www.rottentomatoes.com/tv/one_more_time
m,one_piece_film_z,2022-04-24,tv,2022,https://www.rottentomatoes.com/m/one_piece_film_z_2022,https://www.rottentomatoes.com/m/one_piece_film_z,https://www.rottentomatoes.com/tv/one_piece_film_z_2022,https://www.rottentomatoes.com/tv/one_piece_film_z
m,one_piece_film_strong_world,2022-03-20,tv,2022,https://www.rottentomatoes.com/m/one_piece_film_strong_world_2022,https://www.rottentomatoes.com/m/one_piece_film_strong_world,https://www.rottentomatoes.com/tv/one_piece_film_strong_world_2022,https://www.rottentomatoes.com/tv/one_piece_film_strong_world
tv,one_of_us_is_lying,2022-03-06,m,2022,https://www.rottentomatoes.com/tv/one_of_us_is_lying_2022,https://www.rottentomatoes.com/tv/one_of_us_is_lying,https://www.rottentomatoes.com/m/one_of_us_is_lying_2022,https://www.rottentomatoes.com/m/one_of_us_is_lying
tv,onimusha,2023-11-05,m,2023,https://www.rottentomatoes.com/tv/onimusha_2023,https://www.rottentomatoes.com/tv/onimusha,https://www.rottentomatoes.com/m/onimusha_2023,https://www.rottentomatoes.com/m/onimusha
m,only_mine,2021-10-31,tv,2021,https://www.rottentomatoes.com/m/only_mine_2021,https://www.rottentomatoes.com/m/only_mine,https://www.rottentomatoes.com/tv/only_mine_2021,https://www.rottentomatoes.com/tv/only_mine
tv,open_your_eyes,2021-08-29,m,2021,https://www.rottentomatoes.com/tv/open_your_eyes_2021,https://www.rottentomatoes.com/tv/open_your_eyes,https://www.rottentomatoes.com/m/open_your_eyes_2021,https://www.rottentomatoes.com/m/open_your_eyes
m,operation_mincemeat,2022-05-22,tv,2022,https://www.rottentomatoes.com/m/operation_mincemeat_2022,https://www.rottentomatoes.com/m/operation_mincemeat,https://www.rottentomatoes.com/tv/operation_mincemeat_2022,https://www.rottentomatoes.com/tv/operation_mincemeat
m,operation_romeo,2022-07-10,tv,2022,https://www.rottentomatoes.com/m/operation_romeo_2022,https://www.rottentomatoes.com/m/operation_romeo,https://www.rottentomatoes.com/tv/operation_romeo_2022,https://www.rottentomatoes.com/tv/operation_romeo
